16:49:30.312 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:49:57.249 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:50:08.594 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:50:09.153 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:50:18.422 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:50:23.495 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:50:28.517 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:50:33.643 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:51:14.123 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:51:18.495 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:51:23.572 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:51:27.752 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:52:18.083 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:52:18.866 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:52:22.116 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:52:22.816 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:52:24.883 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:52:31.512 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:52:33.063 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:52:50.716 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:53:19.479 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:53:39.935 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:53:40.746 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
